president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,10/28/2017,36.12514,39.49284,32.75744,57.38434,62.2604,52.50828,2017-10-28
Donald Trump,Voters,10/28/2017,38.7843,42.95199,34.6166,56.29276,60.53031,52.05521,28/10/17 13:10
Donald Trump,All polls,10/28/2017,37.29323,41.86818,32.71828,56.74607,61.39561,52.09653,28/10/17 13:10
Donald Trump,Voters,10/27/2017,38.7843,42.95199,34.6166,56.29276,60.53031,52.05521,27/10/17 15:55
Donald Trump,Adults,10/27/2017,36.12577,39.48451,32.76704,57.31348,62.16035,52.4666,2017-10-27
Donald Trump,All polls,10/27/2017,37.30399,41.85652,32.75145,56.69308,61.30756,52.07861,27/10/17 15:55
Donald Trump,Voters,10/26/2017,39.07314,43.17662,34.96965,56.0741,60.26413,51.88408,26/10/17 13:30
Donald Trump,Adults,10/26/2017,36.19252,39.63343,32.75162,57.42849,62.08479,52.77219,2017-10-26
Donald Trump,All polls,10/26/2017,37.46911,42.05527,32.88294,56.71981,61.22549,52.21413,26/10/17 13:30
Donald Trump,Voters,10/25/2017,38.67745,42.68204,34.67285,56.31491,60.51158,52.11824,25/10/17 21:05
Donald Trump,Adults,10/25/2017,36.098,39.48586,32.71013,57.4499,62.15436,52.74545,2017-10-25
Donald Trump,All polls,10/25/2017,37.07568,41.50466,32.6467,56.91793,61.44345,52.39241,25/10/17 21:05
Donald Trump,Adults,10/24/2017,35.93237,39.38079,32.48395,57.62141,62.24105,53.00177,2017-10-24
Donald Trump,Voters,10/24/2017,38.9423,43.13006,34.75453,55.83633,60.3097,51.36296,24/10/17 15:40
Donald Trump,All polls,10/24/2017,37.1561,41.78599,32.52621,56.73306,61.40689,52.05923,24/10/17 15:40
Donald Trump,Adults,10/23/2017,36.40454,39.91741,32.89167,57.09264,61.75982,52.42546,2017-10-23
Donald Trump,Voters,10/23/2017,39.28416,43.3776,35.19071,55.52995,60.00792,51.05198,23/10/17 16:52
Donald Trump,All polls,10/23/2017,37.48936,42.06797,32.91075,56.38719,61.0635,51.71088,23/10/17 16:52
Donald Trump,Voters,10/22/2017,39.44123,43.58607,35.29639,55.12551,59.55941,50.69162,22/10/17 13:07
Donald Trump,Adults,10/22/2017,36.73022,40.14434,33.3161,56.91251,61.54598,52.27905,2017-10-22
